is_detected;software;malware;tags;hostname
False;Bkav;;;
True;Lionic;Trojan.Script.Generic.4!c;;
True;ClamAV;Xls.Dropper.Agent-7398287-0;;
True;FireEye;Trojan.GenericKD.32672372;;
False;CAT-QuickHeal;;;
False;Skyhigh;;;
False;McAfee;;;
False;Malwarebytes;;;
False;Sangfor;;;
False;K7AntiVirus;;;
False;K7GW;;;
False;BitDefenderTheta;;;
False;VirIT;;;
True;Symantec;Trojan.Gen.NPE;;
True;ESET-NOD32;VBA/TrojanDropper.Agent.AXB;;
False;TrendMicro-HouseCall;;;
True;Avast;Other:Malware-gen [Trj];;
False;Cynet;;;
True;Kaspersky;UDS:DangerousObject.Multi.Generic;;
True;BitDefender;Trojan.GenericKD.32672372;;
False;NANO-Antivirus;;;
False;SUPERAntiSpyware;;;
True;MicroWorld-eScan;Trojan.GenericKD.32672372;;
True;Emsisoft;Trojan.GenericKD.32672372 (B);;
False;Baidu;;;
False;F-Secure;;;
True;DrWeb;X97M.DownLoader.459;;
False;Zillya;;;
False;TrendMicro;;;
False;CMC;;;
False;Sophos;;;
True;Ikarus;Trojan-Dropper.VBA.Agent;;
False;Jiangmin;;;
True;Google;Detected;;
False;Avira;;;
False;Antiy-AVL;;;
True;Kingsoft;Win32.Infected.AutoInfector.a;;
True;Microsoft;Trojan:O97M/Obfuse.CP;;
False;Gridinsoft;;;
False;Xcitium;;;
True;Arcabit;Trojan.Generic.D1F28A74;;
True;ViRobot;HTML.Z.Agent.48950;;
True;ZoneAlarm;HEUR:Trojan-Downloader.Script.Generic;;
True;GData;Trojan.GenericKD.32672372;;
True;Varist;ABTrojan.KOEJ-;;
False;AhnLab-V3;;;
False;Acronis;;;
False;VBA32;;;
True;ALYac;Trojan.GenericKD.32672372;;
False;TACHYON;;;
False;Zoner;;;
False;Rising;;;
False;Yandex;;;
True;MAX;malware (ai score=82);;
False;MaxSecure;;;
True;Fortinet;VBA/Agent.BCF0!tr;;
True;AVG;Other:Malware-gen [Trj];;
False;Panda;;;
False;VIPRE;;;
False;Tencent;;;
False;Elastic;;;
False;Avast-Mobile;;;
False;SymantecMobileInsight;;;
False;BitDefenderFalx;;;
False;DeepInstinct;;;
False;tehtris;;;
False;APEX;;;
False;Paloalto;;;
False;Trapmine;;;
False;Alibaba;;;
False;Webroot;;;
False;Cylance;;;
False;SentinelOne;;;
False;Trustlook;;;
False;Cybereason;;;
False;CrowdStrike;;;
False;alibabacloud;;;
;;;DETECT_DEBUG_ENVIRONMENT;
;;;LONG_SLEEPS;
;;;;fp2e7a.wpc.phicdn.net
;;;;192.229.211.108
;;;;fp2e7a.wpc.2be4.phicdn.net
