software;version;is_detected;cve_list;href;description
LibreOffice;6.0.7;False;;;
7zip;18.05;False;;;
Adobe Reader;2018.011.20035;False;;;
nginx;1.14.0;True;['CVE-2018-16843'];https://www.prio-n.com/kb/vulnerability/CVE-2018-16843;nginx before versions 1.15.6 and 1.14.1 has a vulnerability in the implementation of HTTP/2 that can allow for excessive memory consumption. This issue affects nginx compiled with the ngx_http_v2_module (not compiled by default) if the 'http2' option of the 'listen' directive is used in a configuration file.
nginx;1.14.0;True;['CVE-2018-16844'];https://www.prio-n.com/kb/vulnerability/CVE-2018-16844;nginx before versions 1.15.6 and 1.14.1 has a vulnerability in the implementation of HTTP/2 that can allow for excessive CPU usage. This issue affects nginx compiled with the ngx_http_v2_module (not compiled by default) if the 'http2' option of the 'listen' directive is used in a configuration file.
Apache HTTP Server;2.4.29;True;['CVE-2021-40438'];;"<!DOCTYPE html>
<html dir=""rtl"" lang=""fa-IR"">

<head>
	<meta cha..."
Apache HTTP Server;2.4.29;True;['CVE-2021-41773'];;"# CVE-2021-41773

> Apache2 2.4.49 - LFI & RCE Exploit

## Info
..."
Apache HTTP Server;2.4.29;True;['CVE-2021-41773'];;"# CVE-2021-41773
Small PoC of CVE-2021-4177..."
Apache HTTP Server;2.4.29;True;['CVE-2021-41773'];;"# CVE-2021-41773
Path Traversal for Apache 2.4.49

https://ubunt..."
Apache HTTP Server;2.4.29;True;['CVE-2021-41773'];;"# CVE-2021-41773

##                                            ..."
Apache HTTP Server;2.4.29;True;['CVE-2021-41773'];;"# CVE-2021-41773
This is a sim..."
Apache HTTP Server;2.4.29;True;['CVE-2021-41773'];;"# CVE-2021-41773
CVE-2021-41773 POC with Docker

### Configurati..."
Apache HTTP Server;2.4.29;True;['CVE-2019-0211'];https://0day.today/exploit/description/32502;Exploit for linux platform in category local exploits
Apache HTTP Server;2.4.29;True;['CVE-2019-10092'];https://0day.today/exploit/description/33575;Exploit for multiple platform in category web applications
Apache HTTP Server;2.4.29;True;['CVE-2019-10098'];https://0day.today/exploit/description/33577;Exploit for multiple platform in category web applications
Apache HTTP Server;2.4.29;True;['CVE-2020-11984'];https://0day.today/exploit/description/34882;Apache2 suffers from an incorrect handling of large requests issue in mod_proxy_uwsgi.
Apache HTTP Server;2.4.29;True;['CVE-2020-11993'];https://0day.today/exploit/description/35422;
Apache HTTP Server;2.4.29;True;['CVE-2021-41773', 'CVE-2021-42013'];https://0day.today/exploit/description/36952;This Metasploit module exploits an unauthenticated remote code execution vulnerability which exists in Apache version 2.4.49 (CVE-2021-41773). If files outside of the document root are not protected by ‘require all denied’ and CGI has been explicitly enabled, it can be used to execute arbitrary commands. This vulnerability has been reintroduced in the Apache 2.4.50 fix (CVE-2021-42013).
